latitude,longitude,description
12.223018739507863,51.39556130134335,Rathaushof Schkeuditz
12.20011,51.39874,Nähe Globana
12.22101,51.38995,Stadtmuseum
12.23337,51.38848,Elsterbrücke
12.22106,51.40696,Fußballfeld
